simid,setting,a01,b01,a11,b11,a02,b02,a12,b12,censmin,censmax,probcens,ptrunc,sampsize
1,1,1.2,39.5,3.1,29.5,2,30,2,27.45,27,78,0.25,0.5,500
2,1,1.2,39.5,3.1,29.5,2,30,2,27.45,27,78,0.25,0.8,500
3,1,1.2,39.5,3.1,29.5,2,30,2,27.45,5,70,0.75,0.5,500
4,1,1.2,39.5,3.1,29.5,2,30,2,27.45,5,70,0.75,0.8,500
5,1,1.2,39.5,3.1,29.5,2,30,2,27.45,27,78,0.25,0.5,1000
6,1,1.2,39.5,3.1,29.5,2,30,2,27.45,27,78,0.25,0.8,1000
7,1,1.2,39.5,3.1,29.5,2,30,2,27.45,5,70,0.75,0.5,1000
8,1,1.2,39.5,3.1,29.5,2,30,2,27.45,5,70,0.75,0.8,1000
9,2,2,50,3,40,2,60,3,50,30,70,0.25,0.5,500
10,2,2,50,3,40,2,60,3,50,30,70,0.25,0.8,500
11,2,2,50,3,40,2,60,3,50,10,50,0.75,0.5,500
12,2,2,50,3,40,2,60,3,50,10,50,0.75,0.8,500
13,2,2,50,3,40,2,60,3,50,30,70,0.25,0.5,1000
14,2,2,50,3,40,2,60,3,50,30,70,0.25,0.8,1000
15,2,2,50,3,40,2,60,3,50,10,50,0.75,0.5,1000
16,2,2,50,3,40,2,60,3,50,10,50,0.75,0.8,1000
17,3,2,35,2,49.5,1.4,30,1.4,30,28,77,0.25,0.5,500
18,3,2,35,2,49.5,1.4,30,1.4,30,28,77,0.25,0.8,500
19,3,2,35,2,49.5,1.4,30,1.4,30,5,52,0.75,0.5,500
20,3,2,35,2,49.5,1.4,30,1.4,30,5,52,0.75,0.8,500
21,3,2,35,2,49.5,1.4,30,1.4,30,28,77,0.25,0.5,1000
22,3,2,35,2,49.5,1.4,30,1.4,30,28,77,0.25,0.8,1000
23,3,2,35,2,49.5,1.4,30,1.4,30,5,52,0.75,0.5,1000
24,3,2,35,2,49.5,1.4,30,1.4,30,5,52,0.75,0.8,1000
25,4,2,35,2,35,1.4,23.4,1.4,49.22,22,95,0.25,0.5,500
26,4,2,35,2,35,1.4,23.4,1.4,49.22,22,95,0.25,0.8,500
27,4,2,35,2,35,1.4,23.4,1.4,49.22,5,52,0.75,0.5,500
28,4,2,35,2,35,1.4,23.4,1.4,49.22,5,52,0.75,0.8,500
29,4,2,35,2,35,1.4,23.4,1.4,49.22,22,95,0.25,0.5,1000
30,4,2,35,2,35,1.4,23.4,1.4,49.22,22,95,0.25,0.8,1000
31,4,2,35,2,35,1.4,23.4,1.4,49.22,5,52,0.75,0.5,1000
32,4,2,35,2,35,1.4,23.4,1.4,49.22,5,52,0.75,0.8,1000
