simid,setting,censmin,censmax,probcens,ptrunc,sampsize,gamma,rho,psi1,theta,psi2
1,1,0.6,2.2,0.25,0.5,500,1.2,-2,0.5,-1.72,0.25
2,1,0.6,2.2,0.25,0.8,500,1.2,-2,0.5,-1.72,0.25
3,1,0,1.4,0.75,0.5,500,1.2,-2,0.5,-1.72,0.25
4,1,0,1.4,0.75,0.8,500,1.2,-2,0.5,-1.72,0.25
5,1,0.6,2.2,0.25,0.5,1000,1.2,-2,0.5,-1.72,0.25
6,1,0.6,2.2,0.25,0.8,1000,1.2,-2,0.5,-1.72,0.25
7,1,0,1.4,0.75,0.5,1000,1.2,-2,0.5,-1.72,0.25
8,1,0,1.4,0.75,0.8,1000,1.2,-2,0.5,-1.72,0.25
9,2,0.6,2.1,0.25,0.5,500,1.2,-2,0.5,-2.2,0.25
10,2,0.6,2.1,0.25,0.8,500,1.2,-2,0.5,-2.2,0.25
11,2,0.4,1.2,0.75,0.5,500,1.2,-2,0.5,-2.2,0.25
12,2,0.4,1.2,0.75,0.8,500,1.2,-2,0.5,-2.2,0.25
13,2,0.6,2.1,0.25,0.5,1000,1.2,-2,0.5,-2.2,0.25
14,2,0.6,2.1,0.25,0.8,1000,1.2,-2,0.5,-2.2,0.25
15,2,0.4,1.2,0.75,0.5,1000,1.2,-2,0.5,-2.2,0.25
16,2,0.4,1.2,0.75,0.8,1000,1.2,-2,0.5,-2.2,0.25
17,3,0.6,2.2,0.25,0.5,500,1,-3,0.5,0.5,0.25
18,3,0.6,2.2,0.25,0.8,500,1,-3,0.5,0.5,0.25
19,3,0,1.4,0.75,0.5,500,1,-3,0.5,0.5,0.25
20,3,0,1.4,0.75,0.8,500,1,-3,0.5,0.5,0.25
21,3,0.6,2.2,0.25,0.5,1000,1,-3,0.5,0.5,0.25
22,3,0.6,2.2,0.25,0.8,1000,1,-3,0.5,0.5,0.25
23,3,0,1.4,0.75,0.5,1000,1,-3,0.5,0.5,0.25
24,3,0,1.4,0.75,0.8,1000,1,-3,0.5,0.5,0.25
25,4,0.6,2.1,0.25,0.5,500,1,-3,0,1,0.25
26,4,0.6,2.1,0.25,0.8,500,1,-3,0,1,0.25
27,4,0.5,1.2,0.75,0.5,500,1,-3,0,1,0.25
28,4,0.5,1.2,0.75,0.8,500,1,-3,0,1,0.25
29,4,0.6,2.1,0.25,0.5,1000,1,-3,0,1,0.25
30,4,0.6,2.1,0.25,0.8,1000,1,-3,0,1,0.25
31,4,0.5,1.2,0.75,0.5,1000,1,-3,0,1,0.25
32,4,0.5,1.2,0.75,0.8,1000,1,-3,0,1,0.25
